label,text,len
ham,point crazy available n great world la e buffet cine get wat,0.111
ham,lar joke u,0.029
spam,free entry win fa cup final text fa receive entry apply,0.155
ham,u dun early u c,0.049
ham,think go live,0.061
spam, hey week word like fun send,0.147
ham,brother like speak treat like patent,0.077
ham,request set caller press copy friend,0.16
spam,winner value network customer select prize reward claim claim code valid hour,0.157
spam,mobile month u r entitle update late colour mobile camera free mobile update free,0.154
ham,go to home soon want talk stuff tonight k cry today,0.109
spam,chance win cash pound send cost day apply reply,0.136
spam,urgent win week free membership prize word claim,0.155
ham,search right word thank breather promise will not help grant promise wonderful blessing time,0.196
ham,date,0.035
spam,use credit click wap link message click ,0.149
ham,oh k watch,0.026
ham,eh u remember spell yes v naughty v wet,0.081
ham,fine s way u feel s way b,0.058
spam,v not miss goal team news ur national team try ,0.155
ham,seriously spell,0.041
ham,m go try month ha ha joke,0.049
ham,pay lar da stock,0.053
ham,aft finish lunch   u finish ur lunch,0.088
ham, alright way meet soon,0.057
ham,force eat slice hungry tho suck mark get worried know sick turn pizza ,0.144
ham,convincing,0.03
ham,catch bus fry egg tea eat leave dinner feel love,0.134
ham,pack car let know room,0.075
ham, work vaguely remember feel like ,0.064
ham,wait clear sure sarcastic x want live,0.13
ham,yeah get v apologetic n fall actin like spoilt child get catch till will badly cheer ,0.189
ham,k tell,0.029
ham,fear faint housework quick,0.084
spam,thank subscription mobile charge month confirm reply yes reply charge,0.158
ham, home look timing go learn lesson,0.123
ham,let know roommate,0.047
ham,letter b car,0.028
ham,u decide,0.027
ham,hello  decide try invite,0.155
ham,ahead watt want sure great weekend ,0.082
ham,forget tell want need crave  love sweet steed  yummy,0.142
spam, try reply free mobile free delivery tomorrow,0.172
ham,see,0.019
ham,great hope like man endow inch,0.072
ham,call message miss call,0.032
ham,hep b,0.045
ham,fair go,0.031
ham,yeah hopefully maybe ask bit,0.067
ham,u know stubborn want hospital keep tell mark weak sucker hospital weak sucker,0.148
ham,think time see class,0.058
ham,gram usually run like half smart get gram,0.124
ham,k x ride early tomorrow morning crash place tonight,0.08
ham,wow realize think like good happy sorry sorry offer sorry room,0.291
spam, new jersey red play ice hockey correct incorrect end reply end,0.12
ham,know yesterday find,0.076
spam,year special cinema pass  c v free   not miss,0.161
ham,sorry later meeting,0.034
ham,tell reach,0.022
